relid,year,type_of_violence,best
RUS-2001-3-365-31,2001,3,2
RUS-2000-3-365-45,2000,3,22
RUS-2003-1-348-12,2003,1,2
RUS-2008-1-773-167,2008,1,1
RUS-2008-1-773-88,2008,1,3
RUS-2008-1-773-154,2008,1,6
RUS-2008-1-773-61,2008,1,4
RUS-2008-1-773-157,2008,1,1
RUS-2008-1-773-62,2008,1,1
RUS-2008-1-773-162,2008,1,1
RUS-2008-1-773-92,2008,1,0
RUS-2008-1-773-165,2008,1,3
RUS-2008-1-773-65,2008,1,1
RUS-2008-1-773-66,2008,1,1
RUS-2008-1-773-169,2008,1,1
RUS-2008-1-773-168,2008,1,3
RUS-2008-1-773-68,2008,1,2
RUS-2008-1-773-5,2008,1,36
RUS-2008-1-773-69,2008,1,5
RUS-2008-1-773-171,2008,1,3
RUS-2008-1-773-94,2008,1,2
RUS-2008-1-773-70,2008,1,1
RUS-2008-1-773-71,2008,1,1
RUS-2008-1-773-72,2008,1,1
RUS-2008-1-773-73,2008,1,1
RUS-2008-1-773-74,2008,1,1
RUS-2008-1-773-75,2008,1,1
RUS-2008-1-773-174,2008,1,4
RUS-2008-1-773-175,2008,1,1
RUS-2008-1-773-76,2008,1,1
RUS-2008-1-773-80,2008,1,1
RUS-2008-1-773-84,2008,1,1
RUS-2008-1-773-177,2008,1,4
RUS-2008-1-773-179,2008,1,1
RUS-2008-1-773-178,2008,1,2
RUS-2008-1-773-81,2008,1,1
RUS-2008-1-773-82,2008,1,1
RUS-2008-1-773-180,2008,1,2
RUS-2008-1-773-83,2008,1,5
RUS-2008-1-773-181,2008,1,1
RUS-2008-1-773-183,2008,1,2
RUS-2008-1-773-182,2008,1,1
RUS-2008-1-773-184,2008,1,2
RUS-2008-1-773-185,2008,1,2
RUS-2008-1-773-85,2008,1,3
RUS-2008-1-773-188,2008,1,1
RUS-2009-1-773-79,2009,1,1
RUS-2008-1-773-189,2008,1,12
RUS-2008-1-773-190,2008,1,1
RUS-2008-1-773-86,2008,1,1
RUS-2009-1-773-999,2009,1,1
RUS-2009-1-773-2,2009,1,2
RUS-2009-1-773-3,2009,1,1
RUS-2009-1-773-4,2009,1,7
RUS-2009-1-773-5,2009,1,4
RUS-2009-1-773-8,2009,1,1
RUS-2009-1-773-7,2009,1,4
RUS-2009-1-773-10,2009,1,2
RUS-2009-1-773-11,2009,1,1
RUS-2009-1-773-13,2009,1,1
RUS-2009-1-773-14,2009,1,1
RUS-2009-1-773-20,2009,1,1
RUS-2009-1-773-12,2009,1,0
RUS-2009-1-773-35,2009,1,1
RUS-2009-1-773-37,2009,1,1
RUS-2009-1-773-15,2009,1,1
RUS-2009-1-773-16,2009,1,1
RUS-2009-1-773-70,2009,1,2
RUS-2009-1-773-17,2009,1,4
RUS-2009-1-773-18,2009,1,4
RUS-2009-1-773-19,2009,1,2
RUS-2009-1-773-23,2009,1,3
RUS-2009-1-773-22,2009,1,7
RUS-2009-1-773-24,2009,1,1
RUS-2009-1-773-36,2009,1,1
RUS-2009-1-773-26,2009,1,1
RUS-2009-1-773-27,2009,1,2
RUS-2009-1-773-28,2009,1,2
RUS-2009-1-773-29,2009,1,3
RUS-2009-1-773-31,2009,1,1
RUS-2009-1-773-34,2009,1,1
RUS-2009-1-773-49,2009,1,1
RUS-2009-1-773-40,2009,1,17
RUS-2009-1-773-42,2009,1,4
RUS-2009-1-773-45,2009,1,2
RUS-2009-1-773-38,2009,1,3
RUS-2009-1-773-39,2009,1,2
RUS-2009-1-773-41,2009,1,4
RUS-2009-1-773-43,2009,1,10
RUS-2009-1-773-44,2009,1,1
RUS-2009-1-773-55,2009,1,0
RUS-2009-1-773-46,2009,1,3
RUS-2009-1-773-47,2009,1,1
RUS-2009-1-773-54,2009,1,1
RUS-2009-1-773-190,2009,1,1
RUS-2009-1-773-51,2009,1,3
RUS-2009-1-773-52,2009,1,1
RUS-2009-1-773-53,2009,1,2
RUS-2009-1-773-86,2009,1,1
RUS-2009-1-773-59,2009,1,1
RUS-2009-1-773-56,2009,1,1
RUS-2009-1-773-63,2009,1,1
RUS-2009-1-773-57,2009,1,2
RUS-2009-1-773-58,2009,1,1
RUS-2009-1-773-60,2009,1,1
RUS-2009-1-773-61,2009,1,3
RUS-2009-1-773-62,2009,1,5
RUS-2009-1-773-74,2009,1,1
RUS-2009-1-773-64,2009,1,4
RUS-2009-1-773-66,2009,1,1
RUS-2009-1-773-67,2009,1,2
RUS-2009-1-773-69,2009,1,1
RUS-2009-1-773-73,2009,1,1
RUS-2009-1-773-260,2009,1,3
RUS-2009-1-773-75,2009,1,2
RUS-2009-1-773-81,2009,1,1
RUS-2009-1-773-82,2009,1,1
RUS-2009-1-773-84,2009,1,4
RUS-2009-1-773-89,2009,1,10
RUS-2009-1-773-87,2009,1,1
RUS-2009-1-773-88,2009,1,2
RUS-2009-1-773-90,2009,1,0
RUS-2009-1-773-91,2009,1,1
RUS-2009-1-773-96,2009,1,1
RUS-2009-1-773-93,2009,1,1
RUS-2009-1-773-94,2009,1,5
RUS-2009-1-773-95,2009,1,2
RUS-2009-1-773-103,2009,1,1
RUS-2009-1-773-115,2009,1,5
RUS-2009-1-773-104,2009,1,3
RUS-2009-1-773-105,2009,1,1
RUS-2009-1-773-106,2009,1,2
RUS-2009-1-773-108,2009,1,2
RUS-2009-1-773-111,2009,1,2
RUS-2009-1-773-113,2009,1,3
RUS-2009-1-773-117,2009,1,1
RUS-2009-1-773-120,2009,1,2
RUS-2009-1-773-124,2009,1,2
RUS-2009-1-773-121,2009,1,1
RUS-2009-1-773-123,2009,1,1
RUS-2009-1-773-125,2009,1,1
RUS-2009-1-773-128,2009,1,1
RUS-2009-1-773-126,2009,1,9
RUS-2009-1-773-127,2009,1,1
RUS-2010-1-773-14,2010,1,0
RUS-2009-1-773-129,2009,1,1
RUS-2009-1-773-130,2009,1,2
RUS-2009-1-773-131,2009,1,1
RUS-2009-1-773-134,2009,1,1
RUS-2009-1-773-132,2009,1,1
RUS-2009-1-773-133,2009,1,5
RUS-2009-1-773-137,2009,1,1
RUS-2012-1-773-52,2012,1,1
RUS-2009-1-773-135,2009,1,4
RUS-2009-1-773-136,2009,1,4
RUS-2009-1-773-138,2009,1,5
RUS-2009-1-773-237,2009,1,3
RUS-2009-1-773-147,2009,1,4
RUS-2009-1-773-152,2009,1,1
RUS-2009-1-773-153,2009,1,3
RUS-2009-1-773-154,2009,1,1
RUS-2009-1-773-155,2009,1,1
RUS-2007-3-1195-4,2007,3,0
RUS-2009-1-773-156,2009,1,2
RUS-2009-1-773-157,2009,1,1
RUS-2008-1-773-173,2008,1,2
RUS-2007-3-1195-11,2007,3,0
RUS-2005-1-348-159,2005,1,3
RUS-2009-1-773-164,2009,1,1
RUS-2009-1-773-169,2009,1,3
RUS-2009-1-773-173,2009,1,3
RUS-2009-1-773-166,2009,1,6
RUS-2009-1-773-172,2009,1,1
RUS-2001-3-365-32,2001,3,9
RUS-2009-1-773-175,2009,1,1
RUS-2009-1-773-176,2009,1,1
RUS-2009-1-773-177,2009,1,1
RUS-2003-1-348-3,2003,1,4
RUS-2009-1-773-178,2009,1,3
RUS-2010-1-773-127,2010,1,0
RUS-2009-1-773-191,2009,1,1
RUS-2009-1-773-181,2009,1,1
RUS-2009-1-773-182,2009,1,1
RUS-2010-3-365-999,2010,3,4
RUS-2009-1-773-184,2009,1,3
RUS-2009-1-773-185,2009,1,3
RUS-2009-1-773-186,2009,1,1
RUS-2009-1-773-189,2009,1,1
RUS-2010-1-773-163,2010,1,1
RUS-2009-1-773-187,2009,1,1
RUS-2011-1-773-80,2011,1,2
RUS-2009-1-773-194,2009,1,3
RUS-2009-1-773-195,2009,1,2
RUS-2009-1-773-197,2009,1,1
RUS-2009-1-773-196,2009,1,1
RUS-2012-3-365-2,2012,3,1
RUS-2009-1-773-200,2009,1,1
RUS-2003-1-348-11,2003,1,3
RUS-2000-3-365-48,2000,3,0
RUS-2009-1-773-259,2009,1,4
RUS-2009-1-773-258,2009,1,0
RUS-2009-1-773-261,2009,1,1
RUS-1995-1-348-165,1995,1,2
RUS-2009-1-773-262,2009,1,2
RUS-2009-1-773-263,2009,1,1
RUS-2009-1-773-266,2009,1,5
RUS-2009-1-773-274,2009,1,1
RUS-2009-1-773-269,2009,1,2
RUS-2009-1-773-273,2009,1,1
RUS-2005-1-348-140,2005,1,2
RUS-2001-3-365-999,2001,3,0
RUS-2009-1-773-278,2009,1,1
RUS-2009-1-773-279,2009,1,3
RUS-2001-3-365-36,2001,3,5
RUS-2005-1-348-141,2005,1,1
RUS-2001-3-365-2,2001,3,1
RUS-2005-1-348-103,2005,1,1
RUS-2009-1-773-277,2009,1,4
RUS-2009-1-773-247,2009,1,1
RUS-2009-1-773-80,2009,1,1
RUS-2005-1-348-99,2005,1,2
RUS-2005-1-348-179,2005,1,1
RUS-2005-1-348-101,2005,1,7
RUS-2009-1-773-281,2009,1,1
RUS-2005-1-348-37,2005,1,1
RUS-2009-1-773-139,2009,1,3
RUS-2009-1-773-321,2009,1,1
RUS-2009-1-773-228,2009,1,1
RUS-2005-1-348-111,2005,1,2
RUS-2006-1-348-999,2006,1,7
RUS-2006-1-348-62,2006,1,2
RUS-2006-1-348-98,2006,1,2
RUS-2006-1-348-141,2006,1,1
RUS-2006-1-348-144,2006,1,1
RUS-2007-1-348-14,2007,1,0
RUS-2007-1-348-96,2007,1,2
RUS-1995-1-348-200,1995,1,2
RUS-2009-1-773-292,2009,1,1
RUS-2009-1-773-288,2009,1,3
RUS-2010-3-1210-2,2010,3,14
RUS-2010-1-773-149,2010,1,2
RUS-2010-1-773-189,2010,1,0
RUS-2010-1-773-228,2010,1,0
RUS-2011-1-773-70,2011,1,2
RUS-2011-1-773-81,2011,1,1
RUS-2011-1-773-147,2011,1,1
RUS-2011-1-773-41,2011,1,3
RUS-2011-1-773-123,2011,1,1
RUS-2011-1-773-1000,2011,1,10
RUS-2011-1-773-92,2011,1,1
RUS-1990-1-373-127,1990,1,3
RUS-2011-1-773-199,2011,1,0
RUS-2011-1-773-25,2011,1,3
RUS-2012-1-773-73,2012,1,3
RUS-2012-1-773-141,2012,1,0
RUS-2012-1-773-205,2012,1,0
RUS-2011-1-773-2290,2011,1,0
RUS-2005-1-348-12,2005,1,1
RUS-2002-3-365-38,2002,3,0
RUS-1991-1-370-91,1991,1,1
RUS-1991-1-370-92,1991,1,7
RUS-1990-1-370-117,1990,1,1
RUS-1991-1-370-90,1991,1,1
RUS-1991-1-370-89,1991,1,2
RUS-1991-1-370-83,1991,1,0
RUS-1991-1-370-86,1991,1,15
RUS-1990-2-274-4,1990,2,3
RUS-2003-1-348-68,2003,1,10
RUS-2003-1-348-70,2003,1,4
RUS-2004-1-348-106,2004,1,4
RUS-2000-1-348-121,2000,1,16
RUS-2004-1-348-107,2004,1,3
RUS-2001-3-365-8,2001,3,1
RUS-2004-1-348-105,2004,1,1
RUS-2001-3-365-11,2001,3,1
RUS-1995-1-348-146,1995,1,2
RUS-1994-1-348-15,1994,1,15
RUS-2004-1-348-109,2004,1,2
RUS-1993-1-350-20,1993,1,49
RUS-1995-1-348-44,1995,1,6
RUS-2002-3-365-36,2002,3,0
RUS-2004-1-348-110,2004,1,3
RUS-2015-3-365-0,2015,3,7
RUS-1995-1-348-91,1995,1,20
RUS-2002-3-365-39,2002,3,3
RUS-2004-1-348-118,2004,1,1
RUS-2004-1-348-15,2004,1,2
RUS-1994-1-348-17,1994,1,27
RUS-2004-1-348-108,2004,1,3
RUS-2002-3-365-2,2002,3,10
RUS-1996-1-348-97,1996,1,5
RUS-2002-3-365-9,2002,3,0
RUS-2001-1-348-14,2001,1,3
RUS-2002-3-365-42,2002,3,1
RUS-2004-1-348-71,2004,1,0
RUS-1999-1-348-4,1999,1,1
RUS-1999-1-348-48,1999,1,541
RUS-2000-1-348-112,2000,1,6
RUS-2001-1-348-19,2001,1,2
RUS-2004-1-348-23,2004,1,0
RUS-2004-3-1195-5,2004,3,11
RUS-2004-3-1225-8,2004,3,41
RUS-2001-1-348-36,2001,1,0
RUS-2002-1-348-253,2002,1,0
RUS-2000-1-348-19.2,2000,1,102
RUS-1996-1-348-117.2,1996,1,5
RUS-1996-1-348-117.3,1996,1,5
RUS-1996-1-348-117.4,1996,1,5
RUS-2004-1-348-192.2,2004,1,1
RUS-2015-1-773-0,2015,1,2
RUS-2002-1-348-330,2002,1,2
RUS-2002-1-348-530,2002,1,3
RUS-2015-1-773-11,2015,1,0
RUS-2015-1-14619-6.1,2015,1,6
RUS-2015-1-14619-6.2,2015,1,1
RUS-2002-1-348-432,2002,1,3
RUS-2002-1-348-254,2002,1,1
RUS-2002-1-348-274,2002,1,0
RUS-2002-1-348-515,2002,1,0
RUS-2012-1-773-184,2012,1,8
RUS-2002-1-348-541,2002,1,0
RUS-2002-1-348-310,2002,1,7
RUS-2002-1-348-327,2002,1,0
RUS-1994-2-276-12,1994,2,2
RUS-2002-1-348-337,2002,1,1
RUS-2002-1-348-338,2002,1,2
RUS-2002-1-348-278,2002,1,0
RUS-2002-1-348-409,2002,1,2
RUS-2002-1-348-247.2,2002,1,0
RUS-2002-1-348-287,2002,1,3
RUS-2002-1-348-243.2,2002,1,1
RUS-2002-1-348-288,2002,1,0
RUS-2002-1-348-289,2002,1,3
RUS-2002-1-348-245,2002,1,0
RUS-2002-1-348-374,2002,1,4
RUS-1989-2-377-999,1989,2,1
RUS-2002-1-348-246,2002,1,0
RUS-2002-1-348-247.1,2002,1,0
RUS-2002-1-348-282,2002,1,1
RUS-2002-1-348-279,2002,1,6
RUS-2002-1-348-424,2002,1,0
RUS-2013-1-773-26,2013,1,5
RUS-2013-1-773-32,2013,1,0
RUS-2013-1-773-33,2013,1,1
RUS-2002-1-348-243.3,2002,1,1
RUS-2002-1-348-243.4,2002,1,3
RUS-2002-1-348-352,2002,1,0
RUS-2002-1-348-398,2002,1,2
RUS-2002-1-348-466,2002,1,6
RUS-2013-1-773-7,2013,1,1
RUS-2013-1-773-13,2013,1,1
RUS-2013-3-365-0,2013,3,3
RUS-2013-3-365-1,2013,3,1
RUS-2013-1-773-64,2013,1,5
RUS-2013-1-773-71,2013,1,1
RUS-2013-1-773-114,2013,1,5
RUS-2013-1-773-139,2013,1,2
RUS-2013-1-773-53,2013,1,1
RUS-2013-1-773-103,2013,1,0
RUS-2014-3-1210-0,2014,3,0
RUS-2014-3-1210-1,2014,3,0
RUS-2014-3-1210-2,2014,3,1
RUS-2014-3-1210-4,2014,3,1
RUS-2014-1-773-40,2014,1,0
RUS-2014-1-773-44,2014,1,2
RUS-2012-1-773-51,2012,1,1
RUS-2005-3-1195-2,2005,3,1
RUS-2008-1-773-103,2008,1,3
RUS-2007-1-348-82,2007,1,1
RUS-2007-1-773-21,2007,1,0
RUS-2008-1-773-121,2008,1,1
RUS-2008-1-773-148,2008,1,9
RUS-2009-3-1210-5,2009,3,1
RUS-2010-3-365-2,2010,3,1
RUS-2010-1-773-144,2010,1,0
RUS-2011-1-773-130,2011,1,1
RUS-2011-1-773-55,2011,1,2
RUS-2011-3-365-999,2011,3,0
RUS-2011-1-773-39,2011,1,3
RUS-2012-1-773-197,2012,1,2
RUS-1991-1-370-79,1991,1,0
RUS-1989-3-365-49,1989,3,20
RUS-1990-2-377-3,1990,2,3
RUS-1989-3-365-50,1989,3,0
RUS-2000-3-1195-10,2000,3,2
RUS-1995-1-348-39,1995,1,0
RUS-2001-1-348-105,2001,1,6
RUS-2000-3-1195-3,2000,3,1
RUS-2001-1-348-27,2001,1,30
RUS-2001-1-348-75,2001,1,0
RUS-2009-1-773-97,2009,1,1
RUS-2005-1-348-17,2005,1,9
RUS-2005-1-348-19,2005,1,1
RUS-2005-1-348-95,2005,1,2
RUS-2005-1-348-96,2005,1,6
RUS-2005-1-348-203,2005,1,2
RUS-2006-1-348-2,2006,1,6
RUS-2007-1-348-26,2007,1,1
RUS-2009-1-773-297,2009,1,1
RUS-2010-1-773-120,2010,1,1
RUS-2010-1-773-117,2010,1,0
RUS-2010-1-773-140,2010,1,2
RUS-2010-1-773-158,2010,1,3
RUS-2010-1-773-198,2010,1,0
RUS-2011-1-773-114,2011,1,1
RUS-2011-1-773-219,2011,1,0
RUS-2012-1-773-137,2012,1,3
RUS-2007-1-348-29,2007,1,1
RUS-2007-1-773-16,2007,1,2
RUS-1990-1-370-114,1990,1,6
RUS-1991-1-370-100,1991,1,104
RUS-1996-1-348-999,1996,1,4
RUS-1995-1-348-64,1995,1,2
RUS-2002-1-348-276,2002,1,0
RUS-2002-1-348-225,2002,1,0
RUS-2002-1-348-507,2002,1,2
RUS-2002-1-348-227,2002,1,0
RUS-1995-3-365-999,1995,3,4
RUS-2001-1-348-56,2001,1,14
RUS-2002-1-348-216,2002,1,2
RUS-2015-1-14619-24,2015,1,4
RUS-2002-1-348-207,2002,1,6
RUS-2002-1-348-208,2002,1,6
RUS-2002-1-348-209,2002,1,4
RUS-2002-1-348-201,2002,1,10
RUS-2002-1-348-250,2002,1,15
RUS-2002-1-348-226,2002,1,0
RUS-2002-1-348-217,2002,1,5
RUS-2002-1-348-220,2002,1,9
RUS-2002-1-348-232,2002,1,2
RUS-2002-1-348-240,2002,1,1
RUS-2002-1-348-243.1,2002,1,0
RUS-2002-1-348-200,2002,1,8
RUS-2002-1-348-249,2002,1,18
RUS-2002-1-348-202,2002,1,4
RUS-2002-1-348-228,2002,1,0
RUS-2002-1-348-233,2002,1,0
RUS-2002-1-348-256,2002,1,0
RUS-2002-1-348-258,2002,1,0
RUS-2002-1-348-259,2002,1,0
RUS-2002-1-348-272,2002,1,0
RUS-2002-1-348-203,2002,1,0
RUS-2002-1-348-234,2002,1,0
RUS-2002-1-348-235,2002,1,0
RUS-2002-1-348-210,2002,1,4
RUS-2002-1-348-211,2002,1,4
RUS-2002-1-348-212,2002,1,4
RUS-2002-1-348-213,2002,1,4
RUS-2002-1-348-214,2002,1,0
RUS-2002-1-348-215,2002,1,0
RUS-2002-1-348-219,2002,1,4
RUS-2002-1-348-237,2002,1,0
RUS-2002-1-348-241,2002,1,3
RUS-2002-1-348-242,2002,1,0
RUS-2002-1-348-244,2002,1,2
RUS-2002-1-348-248,2002,1,3
RUS-2002-1-348-252,2002,1,4
RUS-2002-1-348-257,2002,1,0
RUS-2002-1-348-261,2002,1,2
RUS-2002-1-348-266,2002,1,8
RUS-2002-1-348-267,2002,1,2
RUS-2002-1-348-269,2002,1,0
RUS-2002-1-348-270,2002,1,0
RUS-2002-1-348-277,2002,1,4
RUS-2002-1-348-280,2002,1,3
RUS-2002-1-348-281,2002,1,0
RUS-2002-1-348-285,2002,1,2
RUS-2002-1-348-316,2002,1,3
RUS-2002-1-348-514,2002,1,1
RUS-2002-1-348-529,2002,1,4
RUS-2002-1-348-320,2002,1,44
RUS-2002-1-348-351,2002,1,0
RUS-2002-1-348-542,2002,1,4
RUS-2002-1-348-366,2002,1,1
RUS-2002-1-348-319,2002,1,0
RUS-2002-1-348-391,2002,1,29
RUS-2002-1-348-450,2002,1,2
RUS-2002-1-348-326,2002,1,0
RUS-2002-1-348-328,2002,1,0
RUS-2002-1-348-350,2002,1,0
RUS-2002-1-348-321,2002,1,0
RUS-1994-2-276-13,1994,2,24
RUS-2002-1-348-329,2002,1,9
RUS-2002-1-348-331,2002,1,1
RUS-2002-1-348-332,2002,1,2
RUS-2002-1-348-345,2002,1,1
RUS-2002-1-348-443,2002,1,2
RUS-2002-1-348-339,2002,1,4
RUS-2002-1-348-340,2002,1,1
RUS-2002-1-348-341,2002,1,0
RUS-2002-1-348-343,2002,1,1
RUS-2002-1-348-346,2002,1,0
RUS-2002-1-348-347,2002,1,0
RUS-2002-1-348-348,2002,1,0
RUS-2002-1-348-364,2002,1,1
RUS-1994-2-276-11,1994,2,2
RUS-2004-1-348-60,2004,1,5
RUS-2002-1-348-349,2002,1,0
RUS-2002-1-348-375,2002,1,1
RUS-1994-2-276-10,1994,2,4
RUS-1994-2-276-14,1994,2,7
RUS-2002-1-348-449,2002,1,4
RUS-2002-1-348-378,2002,1,0
RUS-2002-1-348-407,2002,1,2
RUS-2002-1-348-435,2002,1,1
RUS-2002-1-348-385,2002,1,25
RUS-2002-1-348-387,2002,1,0
RUS-2002-1-348-442,2002,1,1
RUS-1991-1-370-81,1991,1,1
RUS-2002-1-348-437,2002,1,0
RUS-2002-1-348-414,2002,1,0
RUS-2002-1-348-402,2002,1,0
RUS-2002-1-348-411,2002,1,0
RUS-2002-1-348-543,2002,1,3
RUS-2002-1-348-549.1,2002,1,0
RUS-2002-1-348-410,2002,1,118
RUS-2002-1-348-412,2002,1,2
RUS-2002-1-348-413,2002,1,2
RUS-2002-1-348-417,2002,1,1
RUS-2002-1-348-550,2002,1,0
RUS-2002-1-348-420,2002,1,0
RUS-2002-1-348-485,2002,1,1
RUS-2002-1-348-419,2002,1,23
RUS-2002-1-348-460.1,2002,1,0
RUS-2002-1-348-463,2002,1,0
RUS-2002-1-348-425,2002,1,0
RUS-2002-1-348-480,2002,1,0
RUS-2002-1-348-493,2002,1,1
RUS-2002-1-348-426,2002,1,1
RUS-2002-1-348-427,2002,1,8
RUS-2002-1-348-430,2002,1,5
RUS-2002-1-348-464,2002,1,8
RUS-2002-1-348-465,2002,1,0
RUS-2002-1-348-467,2002,1,9
RUS-2002-1-348-468,2002,1,2
RUS-2002-1-348-470,2002,1,1
RUS-2002-1-348-472,2002,1,0
RUS-2002-1-348-474,2002,1,2
RUS-2002-1-348-475.1,2002,1,0
RUS-2002-1-348-489,2002,1,1
RUS-2002-1-348-496,2002,1,0
RUS-2002-1-348-502,2002,1,12
RUS-2002-1-348-531,2002,1,1
RUS-2002-1-348-532,2002,1,0
RUS-2002-1-348-534,2002,1,0
RUS-2002-1-348-544,2002,1,0
RUS-2002-1-348-548,2002,1,6
RUS-2002-1-348-545,2002,1,0
RUS-2002-1-348-546,2002,1,0
RUS-2002-1-348-547,2002,1,0
RUS-2002-1-348-552,2002,1,0
RUS-2002-1-348-556,2002,1,5
RUS-2002-1-348-558,2002,1,1
RUS-1994-2-275-10,1994,2,180
RUS-2002-1-348-549.2,2002,1,0
RUS-2002-1-348-501,2002,1,2
