relid,year,type_of_violence,best
USA-2006-1-360-15,2006,1,1
USA-2004-1-360-34,2004,1,60
USA-2004-1-360-54,2004,1,7
USA-2006-1-360-16,2006,1,0
USA-2004-1-360-9,2004,1,0
USA-2004-1-360-11,2004,1,0
USA-2004-1-360-22,2004,1,0
USA-2006-1-360-24,2006,1,0
USA-2003-1-360-5,2003,1,2
USA-2004-1-360-13,2004,1,3
USA-2006-1-360-26,2006,1,1
USA-2004-1-360-19,2004,1,0
USA-2006-1-360-12,2006,1,45
USA-2006-1-360-14,2006,1,5
USA-2006-1-360-19,2006,1,8
USA-2006-1-360-20,2006,1,19
USA-2006-1-360-21,2006,1,0
USA-2006-1-360-22,2006,1,0
USA-2006-1-360-23,2006,1,1
USA-2008-1-360-37,2008,1,4
USA-2009-1-360-36,2009,1,5
USA-2010-1-360-999,2010,1,0
USA-2010-1-360-100.1,2010,1,0
USA-2010-1-360-44,2010,1,2
USA-2010-1-360-103,2010,1,0
USA-2010-1-360-60,2010,1,0
USA-2010-1-360-62,2010,1,5
USA-2010-1-360-63,2010,1,0
USA-2010-1-360-68,2010,1,0
USA-2001-1-360-17,2001,1,30
USA-2010-1-360-66,2010,1,5
USA-2010-1-360-69,2010,1,0
USA-2010-1-360-67,2010,1,0
USA-2010-1-360-118,2010,1,0
USA-2011-1-360-32,2011,1,4
USA-2001-1-360-999,2001,1,189
USA-2001-1-360-2,2001,1,44
USA-2011-1-360-37,2011,1,24
USA-2001-1-360-42,2001,1,20
USA-2003-1-360-7,2003,1,10
USA-2002-1-360-46,2002,1,12
USA-2004-1-360-8,2004,1,58
USA-2002-1-360-40,2002,1,0
USA-2004-1-360-5,2004,1,9
USA-2003-1-360-9,2003,1,2
USA-2005-1-360-11,2005,1,0
USA-2003-1-360-8,2003,1,2
USA-2004-1-360-2,2004,1,0
USA-2004-1-360-3,2004,1,40
USA-2004-1-360-4,2004,1,6
USA-2004-1-360-25,2004,1,3
USA-2004-1-360-6,2004,1,13
USA-2004-1-360-7,2004,1,2
USA-2004-1-360-40,2004,1,0
USA-2004-1-360-20,2004,1,1
USA-2004-1-360-16,2004,1,0
USA-2004-1-360-32,2004,1,0
USA-2004-1-360-17,2004,1,1
USA-2004-1-360-18,2004,1,75
USA-2004-1-360-21,2004,1,0
USA-2004-1-360-24,2004,1,0
USA-2004-1-360-26,2004,1,2
USA-2004-1-360-27,2004,1,0
USA-2004-1-360-36,2004,1,0
USA-2004-1-360-28,2004,1,0
USA-2004-1-360-29,2004,1,4
USA-2004-1-360-46.1,2004,1,4
USA-2004-1-360-30,2004,1,0
USA-2004-1-360-31,2004,1,0
USA-2004-1-360-33,2004,1,0
USA-2004-1-360-35.1,2004,1,0
USA-2004-1-360-38,2004,1,0
USA-2004-1-360-39,2004,1,0
USA-2004-1-360-42,2004,1,0
USA-2004-1-360-41,2004,1,0
USA-2004-1-360-43,2004,1,0
USA-2004-1-360-44,2004,1,0
USA-2004-1-360-45,2004,1,0
USA-2004-1-360-47.1,2004,1,2
USA-2004-1-360-50,2004,1,0
USA-2004-1-360-48,2004,1,12
